Province,Ship Date,Sales Channel,Order Priority
Alberta,2/22/2017,Online,C
British Columbia,3/12/2012,Online,M
Ontario,7/18/2010,Offline,H
Ontario,4/15/2011,Online,M
Alberta,10/5/2010,Offline,M
British Columbia,2/12/2014,Online,L
New Brunswick,10/7/2015,Offline,C
Quebec,10/7/2011,Offline,M
British Columbia,4/21/2010,Offline,H
Alberta,12/11/2012,Offline,L
Ontario,3/18/2011,Offline,H
Saskatchewan,9/22/2012,Online,C
Ontario,8/31/2014,Offline,L
British Columbia,9/12/2015,Online,L
Saskatchewan,5/4/2011,Online,C
Ontario,5/7/2013,Offline,C
Ontario,12/31/2015,Online,L
Ontario,2/11/2014,Online,M
Alberta,4/29/2015,Offline,M
Alberta,1/27/2013,Online,H
British Columbia,3/15/2013,Offline,H
Ontario,12/10/2014,Online,M
British Columbia,1/17/2015,Offline,M
Ontario,3/22/2011,Online,H
British Columbia,4/21/2013,Offline,M
Saskatchewan,8/19/2017,Online,H
British Columbia,5/19/2017,Offline,H
Saskatchewan,5/23/2014,Online,M
British Columbia,9/30/2015,Online,H
British Columbia,10/14/2013,Offline,C
Alberta,12/9/2013,Offline,M
Ontario,8/9/2014,Offline,M
Ontario,12/30/2011,Offline,L
New Brunswick,4/14/2010,Offline,C
Alberta,8/8/2011,Online,M
Manitoba,1/15/2011,Offline,C
Nova Scotia,7/4/2016,Online,C
Saskatchewan,1/5/2014,Offline,H
Ontario,3/31/2017,Offline,H
Alberta,7/27/2010,Online,C
Ontario,8/1/2013,Online,C
Ontario,9/16/2016,Online,H
New Brunswick,1/19/2015,Offline,L
Alberta,5/15/2012,Offline,L
Ontario,7/19/2017,Online,L
Ontario,7/21/2017,Offline,L
Ontario,10/2/2011,Online,C
Quebec,11/26/2015,Online,H
British Columbia,9/14/2012,Online,H
Ontario,12/28/2015,Offline,H
Quebec,7/9/2014,Online,C
Ontario,11/21/2012,Online,H
New Brunswick,3/25/2013,Offline,L
Ontario,3/11/2011,Online,C
British Columbia,9/1/2014,Online,C
Ontario,7/11/2017,Online,H
Ontario,1/3/2011,Offline,C
British Columbia,1/15/2010,Offline,C
Ontario,10/16/2011,Offline,C
Ontario,3/31/2014,Online,C
Alberta,12/1/2012,Online,H
Quebec,12/29/2011,Offline,H
Ontario,8/19/2012,Offline,L
New Brunswick,5/15/2017,Offline,H
Alberta,9/12/2010,Online,H
Alberta,1/31/2016,Online,L
Quebec,5/15/2016,Offline,M
Ontario,12/4/2010,Online,L
Alberta,12/16/2010,Offline,M
Manitoba,1/17/2014,Offline,L
British Columbia,1/5/2015,Offline,H
Quebec,1/30/2017,Offline,L
British Columbia,4/14/2013,Online,M
Alberta,1/16/2013,Offline,H
British Columbia,3/5/2015,Offline,C
Ontario,4/18/2012,Online,L
Ontario,11/8/2016,Offline,L
Ontario,12/23/2011,Offline,C
New Brunswick,4/20/2016,Online,L
Ontario,2/28/2011,Online,L
Ontario,5/28/2013,Online,L
Ontario,6/5/2010,Online,H
Saskatchewan,6/6/2017,Offline,M
Ontario,9/15/2012,Online,L
Ontario,4/3/2017,Online,H
Manitoba,2/23/2015,Offline,L
Quebec,7/29/2010,Offline,M
Ontario,7/14/2016,Online,L
Ontario,9/15/2012,Offline,M
Ontario,4/19/2010,Online,C
British Columbia,1/20/2010,Offline,M
Alberta,3/28/2014,Online,L
Ontario,1/30/2014,Online,C
Alberta,3/15/2010,Offline,L
British Columbia,3/8/2015,Online,L
Ontario,7/22/2012,Online,M
Ontario,4/3/2013,Online,L
Alberta,4/23/2014,Online,C
British Columbia,9/12/2017,Online,H
Quebec,10/24/2010,Offline,L
Ontario,12/23/2016,Offline,L
British Columbia,5/10/2014,Online,L
Ontario,8/19/2016,Online,C
New Brunswick,1/8/2016,Offline,C
Ontario,11/4/2016,Offline,C
Alberta,12/13/2016,Offline,M
British Columbia,9/19/2011,Online,C
Ontario,5/9/2012,Offline,H
British Columbia,6/11/2012,Offline,M
New Brunswick,2/9/2014,Online,M
Ontario,12/28/2016,Online,H
Alberta,12/27/2013,Online,L
Ontario,5/22/2010,Online,H
Ontario,7/30/2012,Online,M
Nova Scotia,11/24/2016,Online,L
Ontario,10/20/2012,Offline,M
Quebec,7/23/2017,Offline,H
Ontario,9/2/2011,Offline,C
Ontario,6/22/2010,Offline,L
Ontario,9/7/2015,Offline,M
British Columbia,9/8/2010,Offline,L
New Brunswick,7/22/2010,Online,H
Ontario,4/23/2012,Online,C
Ontario,3/24/2014,Online,L
Manitoba,9/1/2011,Offline,L
British Columbia,4/5/2016,Online,M
Saskatchewan,2/25/2014,Online,L
Ontario,6/16/2015,Offline,H
Ontario,3/27/2012,Offline,C
British Columbia,10/23/2012,Offline,M
Ontario,3/4/2015,Offline,C
British Columbia,12/22/2010,Offline,C
Nova Scotia,7/26/2011,Online,L
Alberta,8/30/2014,Offline,H
Ontario,9/3/2014,Online,M
Alberta,3/28/2015,Online,H
Saskatchewan,10/27/2016,Online,H
British Columbia,7/23/2013,Online,C
Ontario,2/13/2012,Offline,L
Ontario,5/30/2012,Online,C
Manitoba,11/21/2011,Offline,C
Alberta,5/18/2016,Online,M
British Columbia,2/7/2014,Online,M
British Columbia,12/15/2016,Online,C
Ontario,3/24/2011,Online,M
British Columbia,11/13/2014,Online,C
Ontario,7/5/2012,Online,L
Alberta,11/23/2012,Online,M
Ontario,4/14/2014,Offline,H
Ontario,10/6/2015,Offline,M
Ontario,3/24/2014,Offline,L
Ontario,10/30/2014,Online,M
Ontario,7/10/2012,Online,C
Alberta,12/13/2010,Online,C
Ontario,11/7/2010,Offline,H
British Columbia,5/9/2014,Online,C
Ontario,2/9/2013,Offline,H
New Brunswick,9/29/2014,Offline,M
British Columbia,12/23/2016,Offline,M
British Columbia,12/2/2010,Online,C
Saskatchewan,1/26/2015,Online,H
British Columbia,4/24/2011,Offline,H
Ontario,8/21/2016,Online,M
Ontario,2/19/2011,Offline,L
British Columbia,4/15/2010,Online,L
British Columbia,2/9/2015,Online,C
British Columbia,7/27/2016,Offline,C
Alberta,6/15/2014,Online,C
New Brunswick,1/29/2013,Offline,H
Quebec,3/2/2010,Online,L
Saskatchewan,5/15/2016,Online,M
New Brunswick,8/10/2012,Offline,C
New Brunswick,3/9/2015,Online,M
Alberta,3/20/2011,Offline,L
Manitoba,1/26/2015,Offline,L
British Columbia,6/28/2012,Online,M
Ontario,1/21/2016,Offline,M
British Columbia,2/25/2017,Online,C
Alberta,2/13/2012,Online,L
Quebec,2/15/2013,Offline,C
British Columbia,9/22/2014,Offline,H
Ontario,7/24/2012,Online,M
British Columbia,4/7/2014,Online,M
Ontario,2/10/2014,Offline,C
British Columbia,10/12/2010,Offline,C
Ontario,6/25/2011,Online,C
Ontario,5/21/2013,Offline,M
Alberta,8/14/2014,Offline,L
Manitoba,10/30/2010,Online,M
Quebec,5/14/2013,Offline,C
Ontario,2/1/2016,Online,C
British Columbia,12/14/2013,Online,H
British Columbia,3/9/2014,Offline,C
Quebec,7/10/2017,Offline,H
Ontario,5/20/2014,Online,L
British Columbia,6/8/2011,Offline,L
New Brunswick,9/22/2012,Online,M
Saskatchewan,9/11/2015,Offline,C
Quebec,11/20/2014,Online,H
Quebec,10/21/2013,Online,H
Ontario,3/12/2013,Online,C
Ontario,8/16/2014,Offline,C
Saskatchewan,1/16/2017,Offline,C
Ontario,12/10/2012,Offline,H
Quebec,11/27/2014,Offline,M
Alberta,8/15/2013,Offline,M
Ontario,6/16/2012,Online,L
Ontario,8/6/2015,Offline,M
British Columbia,3/2/2017,Online,H
New Brunswick,2/22/2012,Online,H
Ontario,9/21/2015,Offline,M
British Columbia,6/30/2013,Online,M
Ontario,9/22/2011,Online,C
Quebec,12/6/2016,Offline,M
British Columbia,9/21/2010,Online,H
Saskatchewan,7/14/2013,Online,L
Ontario,11/21/2012,Online,L
Ontario,1/5/2012,Online,M
British Columbia,3/14/2012,Offline,H
Alberta,1/7/2015,Offline,L
Ontario,5/28/2012,Online,L
British Columbia,2/15/2012,Offline,L
British Columbia,8/12/2011,Online,M
Ontario,4/8/2017,Online,C
Quebec,4/18/2017,Online,L
Ontario,4/19/2016,Offline,L
Quebec,12/26/2015,Offline,L
Manitoba,11/16/2011,Offline,H
British Columbia,8/2/2011,Offline,H
Saskatchewan,4/10/2016,Offline,H
Alberta,1/21/2017,Offline,M
British Columbia,4/18/2013,Offline,M
Ontario,4/20/2017,Offline,L
Alberta,7/4/2011,Offline,M
British Columbia,12/31/2013,Offline,H
Ontario,5/31/2013,Offline,C
Ontario,11/27/2010,Online,L
Saskatchewan,4/21/2016,Online,H
Alberta,9/12/2013,Offline,M
Ontario,5/28/2011,Online,L
Ontario,7/25/2014,Offline,L
Ontario,9/15/2014,Online,L
Alberta,6/19/2015,Online,C
Ontario,1/1/2014,Offline,M
New Brunswick,6/10/2012,Offline,M
New Brunswick,11/13/2013,Offline,C
Manitoba,1/14/2011,Online,L
British Columbia,2/3/2013,Offline,L
Ontario,4/14/2011,Offline,H
Ontario,10/27/2012,Offline,C
Ontario,11/15/2014,Online,C
Ontario,7/24/2015,Online,H
Quebec,5/27/2010,Online,L
British Columbia,1/9/2011,Online,C
Alberta,12/31/2010,Offline,L
Ontario,1/1/2013,Online,L
Nova Scotia,9/7/2016,Online,M
Saskatchewan,3/20/2015,Online,M
Manitoba,1/4/2014,Offline,L
Ontario,6/12/2012,Online,L
British Columbia,4/19/2014,Offline,M
Ontario,2/18/2017,Offline,C
Alberta,7/6/2015,Online,M
British Columbia,12/3/2012,Offline,H
Ontario,2/13/2010,Online,H
Nova Scotia,2/6/2016,Online,H
British Columbia,10/23/2014,Online,M
Ontario,1/9/2014,Offline,C
British Columbia,11/25/2010,Offline,M
Alberta,6/2/2011,Offline,M
British Columbia,3/23/2011,Online,H
Quebec,10/13/2014,Offline,H
Alberta,12/14/2015,Online,H
Alberta,7/18/2017,Offline,L
British Columbia,8/18/2011,Online,M
Quebec,8/24/2014,Offline,C
Quebec,2/24/2017,Online,L
Manitoba,12/9/2010,Offline,C
Nova Scotia,5/5/2015,Online,H
Quebec,10/16/2012,Offline,H
Alberta,9/2/2013,Offline,L
Alberta,8/18/2013,Offline,C
Ontario,12/17/2013,Offline,L
Ontario,3/28/2016,Online,L
Ontario,4/4/2012,Offline,M
Quebec,6/29/2017,Offline,H
Ontario,5/16/2014,Online,L
Alberta,8/4/2016,Online,C
Ontario,7/1/2012,Online,L
Alberta,2/16/2014,Offline,M
Quebec,11/21/2015,Offline,L
Ontario,2/28/2013,Online,C
Ontario,6/7/2013,Online,L
British Columbia,6/3/2010,Offline,C
Ontario,5/22/2010,Offline,H
Saskatchewan,9/9/2012,Online,H
Ontario,5/13/2014,Offline,L
Nova Scotia,4/5/2013,Online,M
Quebec,1/17/2012,Online,M
Ontario,10/10/2014,Offline,M
Alberta,10/2/2014,Online,H
British Columbia,3/28/2014,Online,H
British Columbia,9/27/2012,Online,L
Ontario,9/22/2010,Online,H
Manitoba,8/15/2013,Online,L
Ontario,10/23/2012,Online,C
British Columbia,10/15/2011,Offline,M
British Columbia,6/6/2015,Offline,L
New Brunswick,7/27/2010,Offline,C
Ontario,9/21/2015,Offline,C
Alberta,12/6/2015,Online,M
Nova Scotia,8/16/2012,Offline,L
Manitoba,5/4/2012,Online,C
Ontario,9/18/2014,Online,M
Saskatchewan,11/28/2016,Offline,C
British Columbia,1/21/2017,Offline,L
Alberta,7/13/2010,Offline,C
Saskatchewan,8/31/2016,Online,C
British Columbia,1/12/2014,Offline,L
British Columbia,8/9/2012,Online,M
New Brunswick,3/2/2012,Online,C
Alberta,4/25/2013,Online,C
British Columbia,3/10/2014,Online,H
British Columbia,11/15/2013,Offline,H
Ontario,6/2/2016,Online,C
New Brunswick,6/2/2011,Offline,H
Saskatchewan,9/9/2016,Online,L
Ontario,8/5/2012,Offline,L
Ontario,1/11/2015,Online,L
British Columbia,6/1/2010,Offline,C
Saskatchewan,2/17/2013,Online,H
Saskatchewan,7/9/2015,Offline,C
Alberta,11/18/2014,Offline,L
Manitoba,3/13/2017,Offline,C
New Brunswick,7/16/2010,Offline,C
Ontario,5/20/2014,Online,M
British Columbia,4/15/2015,Offline,L
Ontario,10/15/2015,Offline,M
British Columbia,8/30/2015,Online,L
Ontario,3/17/2016,Offline,L
Quebec,7/23/2015,Online,C
Manitoba,12/6/2012,Offline,M
Quebec,10/19/2012,Offline,M
Ontario,8/7/2012,Offline,C
Ontario,11/11/2014,Offline,H
British Columbia,10/18/2015,Offline,C
Ontario,2/20/2016,Online,H
New Brunswick,4/19/2010,Offline,H
Quebec,8/28/2012,Online,M
Saskatchewan,11/2/2015,Online,H
Saskatchewan,7/18/2017,Online,M
Alberta,4/30/2016,Offline,M
Ontario,9/9/2015,Online,C
Saskatchewan,7/4/2012,Offline,L
British Columbia,5/5/2016,Online,L
Manitoba,9/21/2014,Offline,C
Ontario,9/10/2015,Online,L
Ontario,7/20/2012,Online,C
Ontario,9/13/2011,Offline,H
Quebec,7/1/2012,Online,M
Alberta,12/24/2011,Offline,L
Quebec,6/4/2015,Offline,L
Alberta,8/22/2010,Offline,C
Manitoba,5/27/2016,Online,C
Quebec,6/8/2011,Offline,H
British Columbia,9/20/2012,Offline,H
British Columbia,5/2/2012,Online,C
Ontario,8/9/2010,Online,C
Ontario,3/26/2013,Offline,L
Alberta,3/10/2011,Online,M
Quebec,12/16/2015,Offline,M
Quebec,2/16/2017,Offline,C
Ontario,10/28/2016,Offline,L
Quebec,6/2/2010,Online,M
Ontario,7/10/2013,Offline,H
Alberta,7/27/2012,Offline,H
Ontario,10/22/2013,Online,C
New Brunswick,1/6/2017,Offline,C
Quebec,10/15/2011,Offline,M
Ontario,4/2/2011,Online,L
Manitoba,1/26/2011,Offline,L
British Columbia,2/22/2015,Offline,M
Quebec,6/25/2017,Online,C
